simplified	traditional	pinyin	eng	level
汗	汗	han2	perspiration, sweat, CL:滴,頭|头,身[shēn], to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection),	4
汗	汗	han4	perspiration, sweat, CL:滴,頭|头,身[shēn], to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection),	4
航班	航班	hang2 ban1	scheduled flight, flight number, plane, scheduled sailing, sailing number, passenger ship,	4
好处	好處	hao3 chu3	benefit, advantage, gain, profit, also pronounced [hǎo chù], CL:個|个[gè],	4
好处	好處	hao3 chu5	benefit, advantage, gain, profit, also pronounced [hǎo chù], CL:個|个[gè],	4
好像	好像	hao3 xiang4	as if, to seem like,	4
号码	號碼	hao4 ma3	number, CL:堆,個|个[gè],	4
合格	合格	he2 ge2	qualified, meeting a standard, eligible (voter),	4
合适	合適	he2 shi4	suitable, fitting, decent, to fit,	4
盒子	盒子	he2 zi5	case,	4
猴子	猴子	hou2 zi5	monkey, CL:隻|只[zhī],	4
厚	厚	hou4	thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress,	4
后悔	後悔	hou4 hui3	to regret, to repent,	4
后来	後來	hou4 lai2	afterwards, later,	4
忽然	忽然	hu1 ran2	suddenly, all of a sudden,	4
互相	互相	hu4 xiang1	each other, mutually, mutual,	4
护士	護士	hu4 shi5	nurse, CL:個|个[gè],	4
怀疑	懷疑	huai2 yi2	to doubt, to suspect, doubt, suspicion, skeptical,	4
回忆	回憶	hui2 yi4	to recall, recollection, CL:個|个[gè],	4
活动	活動	huo2 dong4	to exercise, to move about, to operate, activity, loose, shaky, active, movable, maneuver, to use connections, CL:項|项,個|个[gè],	4
活泼	活潑	huo2 po5	lively, vivacious, brisk, active,	4
火	火	Huo3	fire, urgent, ammunition, fiery or flaming, internal heat (Chinese medicine), hot (popular), classifier for military units (old),	4
火	火	huo3	fire, urgent, ammunition, fiery or flaming, internal heat (Chinese medicine), hot (popular), classifier for military units (old),	4
获得	獲得	huo4 de2	to obtain, to receive, to get,	4
基础	基礎	ji1 chu3	base, foundation, basis, underlying, CL:個|个[gè],	4
激动	激動	ji1 dong4	to excite, to agitate, exciting,	4
积极	積極	ji1 ji2	active, energetic, vigorous, positive (outlook), proactive,	4
积累	積累	ji1 lei3	to accumulate, accumulation, cumulative, cumulatively,	4
极其	極其	ji2 qi2	extremely,	4
即使	即使	ji2 shi3	even if, even though, given that,	4
及时	及時	ji2 shi2	in time, promptly, without delay, timely,	4
集合	集合	ji2 he2	to gather, to assemble, set (mathematics),	4
寄	寄	ji4	to live (in a house), to lodge, to mail, to send, to entrust, to depend,	4
继续	繼續	ji4 xu4	to continue, to proceed with, to go on with,	4
记者	記者	ji4 zhe3	reporter, journalist, CL:個|个[gè],	4
计划	計劃	ji4 hua4	plan, project, program, to plan, to map out, CL:個|个,項|项[xiàng],	4
技术	技術	ji4 shu4	technology, technique, skill, CL:門|门,種|种,項|项[xiàng],	4
既然	既然	ji4 ran2	since, as, this being the case,	4
家具	家具	jia1 ju4	furniture, CL:件,套[tào],	4
加班	加班	jia1 ban1	to work overtime,	4
加油站	加油站	jia1 you2 zhan4	gas station,	4
假	假	gei1	fake, false, artificial, to borrow, if, suppose,	4
假	假	jia3	fake, false, artificial, to borrow, if, suppose,	4
假	假	jia4	fake, false, artificial, to borrow, if, suppose,	4
假	假	jia3	fake, false, artificial, to borrow, if, suppose,	4
价格	價格	jia4 ge2	price, CL:個|个[gè],	4
坚持	堅持	jian1 chi2	to persevere with, to persist in, to insist on,	4
减肥	減肥	jian3 fei2	to lose weight,	4
减少	減少	jian3 shao3	to lessen, to decrease, to reduce, to lower,	4
将来	將來	jiang1 lai2	in the future, future, the future, CL:個|个[gè],	4
奖金	獎金	jiang3 jin1	premium, award money, a bonus,	4
降低	降低	jiang4 di1	to reduce, to lower, to bring down,	4
交	交	jiao1	to hand over, to deliver, to pay (money), to turn over, to make friends, to intersect (lines),	4
交流	交流	jiao1 liu2	to exchange, exchange, communication, interaction, to have social contact (with sb),	4
交通	交通	jiao1 tong1	to be connected, traffic, transportation, communications, liaison,	4
骄傲	驕傲	jiao1 ao4	pride, arrogance, conceited, proud of sth,	4
饺子	餃子	jiao3 zi5	dumpling, pot-sticker, CL:個|个,隻|只[zhī],	4
教授	教授	jiao4 shou4	professor, to instruct, to lecture on, CL:個|个,位[wèi],	4
教育	教育	jiao4 yu4	to educate, to teach, education,	4
接受	接受	jie1 shou4	to accept, to receive,	4
节约	節約	jie2 yue1	to economize, to conserve (resources), economy, frugal,	4
结果	結果	jie1 guo3	outcome, result, conclusion, in the end, as a result, to kill, to dispatch,	4
结果	結果	jie2 guo3	outcome, result, conclusion, in the end, as a result, to kill, to dispatch,	4
解释	解釋	jie3 shi4	explanation, to explain, to interpret, to resolve, CL:個|个[gè],	4
紧张	緊張	jin3 zhang1	nervous, keyed up, intense, tense, strained, in short supply, scarce, CL:陣|阵[zhèn],	4
尽管	盡管	jin3 guan3	despite, although, even though, in spite of, unhesitatingly, do not hesitate (to ask, complain etc), (go ahead and do it) without hesitating,	4
进行	進行	jin4 xing2	to advance, to conduct, underway, in progress, to do, to carry out, to carry on, to execute,	4
禁止	禁止	jin4 zhi3	to prohibit, to forbid, to ban,	4
精彩	精彩	jing1 cai3	brilliant, splendid,	4
精神	精神	jing1 shen2	spirit, mind, consciousness, thought, mental, psychological, essence, gist, CL:個|个[gè],	4
精神	精神	jing1 shen5	spirit, mind, consciousness, thought, mental, psychological, essence, gist, CL:個|个[gè],	4
经济	經濟	jing1 ji4	economy, economic,	4
经历	經歷	jing1 li4	experience, CL:個|个,次[cì], to experience, to go through,	4
经验	經驗	jing1 yan4	to experience, experience,	4
京剧	京劇	Jing1 ju4	Beijing opera, CL:場|场,出[chū],	4
警察	警察	jing3 cha2	police, policeman, policewoman, CL:個|个[gè],	4
竟然	竟然	jing4 ran2	unexpectedly, to one's surprise, in spite of everything, in that crazy way, actually, to go as far as to,	4
竞争	競爭	jing4 zheng1	to compete, competition,	4
镜子	鏡子	jing4 zi5	mirror, CL:面,個|个[gè],	4
究竟	究竟	jiu1 jing4	after all (when all is said and done), actually, outcome, result,	4
举办	舉辦	ju3 ban4	to conduct, to hold,	4
拒绝	拒絕	ju4 jue2	to refuse, to decline, to reject,	4
距离	距離	ju4 li2	distance, to be apart, CL:個|个[gè],	4
开玩笑	開玩笑	kai1 wan2 xiao4	to play a joke, to make fun of, to joke,	4
看法	看法	kan4 fa3	way of looking at a thing, view, opinion, CL:個|个[gè],	4
考虑	考慮	kao3 lu:4	to think over, to consider, consideration,	4
棵	棵	ke1	classifier for trees, cabbages, plants etc,	4
科学	科學	ke1 xue2	science, scientific knowledge, scientific, CL:門|门,個|个,種|种[zhǒng],	4
咳嗽	咳嗽	ke2 sou5	to cough, CL:陣|阵[zhèn],	4
可怜	可憐	ke3 lian2	pitiful, pathetic, to have pity on,	4
可是	可是	ke3 shi4	but, however,	4
可惜	可惜	ke3 xi1	it is a pity, what a pity, unfortunately,	4
肯定	肯定	ken3 ding4	to be sure, to be certain, sure, certain, definite, to confirm, to affirm, affirmative, to approve, approval, recognition,	4
空气	空氣	kong1 qi4	air, atmosphere,	4
恐怕	恐怕	kong3 pa4	fear, to dread, I'm afraid that..., perhaps, maybe,	4
苦	苦	ku3	bitter, hardship, pain, to suffer, to bring suffering to, painstakingly,	4
宽	寬	Kuan1	lenient, wide, broad,	4
宽	寬	kuan1	lenient, wide, broad,	4
困	困	kun4	sleepy, tired,	4
困	困	kun4	sleepy, tired,	4
困难	困難	kun4 nan5	difficult, challenging, straitened circumstances, difficult situation,	4
扩大	擴大	kuo4 da4	to expand, to enlarge, to broaden one's scope,	4
拉	拉	la1	to pull, to play (a bowed instrument), to drag, to draw, to chat,	4
拉	拉	la2	to pull, to play (a bowed instrument), to drag, to draw, to chat,	4
拉	拉	la4	to pull, to play (a bowed instrument), to drag, to draw, to chat,	4
垃圾桶	垃圾桶	la1 ji1 tong3	rubbish bin, Taiwan pr. [lè sè tǒng],	4
辣	辣	la4	hot (spicy), pungent,	4
辣	辣	la4	hot (spicy), pungent,	4
来不及	來不及	lai2 bu5 ji2	there's not enough time (to do sth), it's too late (to do sth),	4
来得及	來得及	lai2 de5 ji2	there's still time, able to do sth in time,	4
懒	懶	lan3	lazy,	4
懒	懶	lan3	lazy,	4
浪费	浪費	lang4 fei4	to waste, to squander,	4
浪漫	浪漫	lang4 man4	romantic,	4
老虎	老虎	lao3 hu3	tiger, CL:隻|只[zhī],	4
冷静	冷靜	leng3 jing4	calm, cool-headed,	4
礼貌	禮貌	li3 mao4	courtesy, manners,	4
理发	理發	li3 fa4	a barber, hairdressing,	4
理解	理解	li3 jie3	to comprehend, to understand, comprehension, understanding,	4
理想	理想	li3 xiang3	a dream, an ideal, perfection, ideal, perfect, desirable, CL:個|个[gè],	4
厉害	厲害	li4 hai5	difficult to deal with, difficult to endure, ferocious, radical, serious, terrible, violent, tremendous, awesome,	4
力气	力氣	li4 qi5	strength, CL:把[bǎ],	4
例如	例如	li4 ru2	for example, for instance, such as,	4
俩	倆	lia3	two (colloquial equivalent of 兩個|两个), both, some,	4
俩	倆	liang3	two (colloquial equivalent of 兩個|两个), both, some,	4
连	連	Lian2	to link, to join, to connect, continuously, in succession, including, (used with 也, 都 etc) even, company (military),	4
连	連	lian2	to link, to join, to connect, continuously, in succession, including, (used with 也, 都 etc) even, company (military),	4
联系	聯系	lian2 xi4	connection, contact, relation, to get in touch with, to integrate, to link, to touch,	4
联系	聯系	lian2 xi4	connection, contact, relation, to get in touch with, to integrate, to link, to touch,	4
凉快	涼快	liang2 kuai5	nice and cold, pleasantly cool,	4
亮	亮	liang4	bright, clear, resonant, to shine, to show, to reveal,	4
聊天	聊天	liao2 tian1	to chat, to gossip,	4
另外	另外	ling4 wai4	additional, in addition, besides, separate, other, moreover, furthermore,	4
留	留	liu2	to leave (a message etc), to retain, to stay, to remain, to keep, to preserve,	4
留	留	liu2	to leave (a message etc), to retain, to stay, to remain, to keep, to preserve,	4
留	留	liu2	to leave (a message etc), to retain, to stay, to remain, to keep, to preserve,	4
留学	留學	liu2 xue2	to study abroad,	4
流泪	流淚	liu2 lei4	to shed tears,	4
流利	流利	liu2 li4	fluent,	4
流行	流行	liu2 xing2	to spread, to rage (of contagious disease), popular, fashionable, prevalent, (math.) manifold,	4
乱	亂	luan4	in confusion or disorder, in a confused state of mind, disorder, upheaval, riot, illicit sexual relations, to throw into disorder, to mix up, indiscriminate, random, arbitrary,	4
律师	律師	lu:4 shi1	lawyer,	4
麻烦	麻煩	ma2 fan5	inconvenient, troublesome, annoying, to trouble or bother sb, to put sb to trouble,	4
